Country,State,Latitude,Longitude,Date,Confirmed,Recovered,Deaths,Closed,Active,Diff Confirmed,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Confirmed,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Confirmed,Diff3 Recovered,Diff3 Deaths,Diff3 Closed,Diff3 Active,μ_closed,μ_confirmed,μ_closed_est
China,Anhui,31.83,117.23,2020-02-19,986,413,6,419,567,,,,,,,,,,,,,,,,0.0143,0.0061,0.034
China,Beijing,40.18,116.41,2020-02-19,393,145,4,149,244,,,,,,,,,,,,,,,,0.0268,0.0102,0.034
China,Chongqing,30.06,107.87,2020-02-19,560,274,5,279,281,,,,,,,,,,,,,,,,0.0179,0.0089,0.034
China,Fujian,26.08,117.99,2020-02-19,293,112,0,112,181,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Gansu,37.81,101.06,2020-02-19,91,65,2,67,24,,,,,,,,,,,,,,,,0.0299,0.022,0.034
China,Guangdong,23.34,113.42,2020-02-19,1331,606,5,611,720,,,,,,,,,,,,,,,,0.0082,0.0038,0.034
China,Guangxi,23.83,108.79,2020-02-19,244,86,2,88,156,,,,,,,,,,,,,,,,0.0227,0.0082,0.034
China,Guizhou,26.82,106.87,2020-02-19,146,70,2,72,74,,,,,,,,,,,,,,,,0.0278,0.0137,0.034
China,Hainan,19.2,109.75,2020-02-19,168,84,4,88,80,,,,,,,,,,,,,,,,0.0455,0.0238,0.034
China,Hebei,39.55,116.13,2020-02-19,306,152,4,156,150,,,,,,,,,,,,,,,,0.0256,0.0131,0.034
China,Hong Kong,22.3,114.2,2020-02-19,63,5,2,7,56,,,,,,,,,,,,,,,,0.286,0.0317,0.034
China,Hubei,30.98,112.27,2020-02-19,62031,10337,2029,12366,49665,,,,,,,,,,,,,,,,0.164,0.0327,0.034
China,Hunan,27.61,111.71,2020-02-19,1008,561,4,565,443,,,,,,,,,,,,,,,,0.0071,0.004,0.034
China,Inner Mongolia,44.09,113.94,2020-02-19,75,10,0,10,65,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangsu,32.97,119.46,2020-02-19,631,318,0,318,313,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Jiangxi,27.61,115.72,2020-02-19,934,362,1,363,571,,,,,,,,,,,,,,,,0.0028,0.0011,0.034
China,Jilin,43.67,126.19,2020-02-19,90,37,1,38,52,,,,,,,,,,,,,,,,0.0263,0.0111,0.034
China,Liaoning,41.3,122.61,2020-02-19,121,55,1,56,65,,,,,,,,,,,,,,,,0.0179,0.0083,0.034
China,Macau,22.17,113.55,2020-02-19,10,5,0,5,5,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Ningxia,37.27,106.17,2020-02-19,71,42,0,42,29,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Qinghai,35.75,96.0,2020-02-19,18,16,0,16,2,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shaanxi,35.19,108.87,2020-02-19,242,102,0,102,140,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Shandong,36.34,118.15,2020-02-19,544,231,3,234,310,,,,,,,,,,,,,,,,0.0128,0.0055,0.034
China,Shanxi,37.58,112.29,2020-02-19,131,68,0,68,63,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Sichuan,30.62,102.71,2020-02-19,514,188,3,191,323,,,,,,,,,,,,,,,,0.0157,0.0058,0.034
China,Tianjin,39.31,117.32,2020-02-19,130,54,3,57,73,,,,,,,,,,,,,,,,0.0526,0.0231,0.034
China,Tibet,31.69,88.09,2020-02-19,1,1,0,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.034
China,Xinjiang,41.11,85.24,2020-02-19,76,20,1,21,55,,,,,,,,,,,,,,,,0.0476,0.0132,0.034
China,Zhejiang,29.18,120.09,2020-02-19,1174,604,0,604,570,,,,,,,,,,,,,,,,0.0,0.0,0.034
